succ,fail,tot,rsucc,rfail,stg,food,pair,fem,mle,fam
6,4,10,0.6,0.4,adh,dic,dd,drace,drace,dd2.2
1,9,10,0.1,0.9,acc,mik,dd,drace,drace,dd4.2
1,9,10,0.1,0.9,sec,mik,dd,drace,drace,dd4.2
0,10,10,0,1,adh,mik,dd,drace,drace,dd4.2
10,0,10,1,0,acc,dic,dd,drace,drace,dd4.2
9,1,10,0.9,0.1,sec,dic,dd,drace,drace,dd4.2
7,3,10,0.7,0.3,adh,dic,dd,drace,drace,dd4.2
0,2,2,0,1,acc,mik,dd,drace,drace,owd2.1
0,2,2,0,1,sec,mik,dd,drace,drace,owd2.1
0,2,2,0,1,adh,mik,dd,drace,drace,owd2.1
2,0,2,1,0,acc,dic,dd,drace,drace,owd2.1
0,2,2,0,1,sec,dic,dd,drace,drace,owd2.1
0,2,2,0,1,adh,dic,dd,drace,drace,owd2.1
0,5,5,0,1,acc,mik,dd,drace,drace,pat1
0,5,5,0,1,sec,mik,dd,drace,drace,pat1
0,5,5,0,1,adh,mik,dd,drace,drace,pat1
4,0,4,1,0,acc,dic,dd,drace,drace,pat1
3,1,4,0.75,0.25,sec,dic,dd,drace,drace,pat1
3,1,4,0.75,0.25,adh,dic,dd,drace,drace,pat1
0,3,3,0,1,acc,mik,dd,drace,drace,pat2
0,3,3,0,1,sec,mik,dd,drace,drace,pat2
0,3,3,0,1,adh,mik,dd,drace,drace,pat2
4,0,4,1,0,acc,dic,dd,drace,drace,pat2
3,1,4,0.75,0.25,sec,dic,dd,drace,drace,pat2
3,1,4,0.75,0.25,adh,dic,dd,drace,drace,pat2
0,2,2,0,1,acc,mik,dd,drace,drace,dd6.2
0,2,2,0,1,sec,mik,dd,drace,drace,dd6.2
0,2,2,0,1,adh,mik,dd,drace,drace,dd6.2
3,0,3,1,0,acc,dic,dd,drace,drace,dd6.2
3,0,3,1,0,sec,dic,dd,drace,drace,dd6.2
3,0,3,1,0,adh,dic,dd,drace,drace,dd6.2
0,6,6,0,1,acc,mik,dd,drace,drace,dd1.3
0,6,6,0,1,sec,mik,dd,drace,drace,dd1.3
0,6,6,0,1,adh,mik,dd,drace,drace,dd1.3
5,0,5,1,0,acc,dic,dd,drace,drace,dd1.3
5,0,5,1,0,sec,dic,dd,drace,drace,dd1.3
3,2,5,0.6,0.4,adh,dic,dd,drace,drace,dd1.3
0,2,2,0,1,acc,mik,dd,drace,drace,dd9.2
0,2,2,0,1,sec,mik,dd,drace,drace,dd9.2
0,2,2,0,1,adh,mik,dd,drace,drace,dd9.2
2,0,2,1,0,acc,dic,dd,drace,drace,dd9.2
2,0,2,1,0,sec,dic,dd,drace,drace,dd9.2
2,0,2,1,0,adh,dic,dd,drace,drace,dd9.2
10,0,10,1,0,acc,mik,md,mrace,drace,hyb1
5,5,10,0.5,0.5,sec,mik,md,mrace,drace,hyb1
5,5,10,0.5,0.5,adh,mik,md,mrace,drace,hyb1
10,0,10,1,0,acc,dic,md,mrace,drace,hyb1
5,5,10,0.5,0.5,sec,dic,md,mrace,drace,hyb1
5,5,10,0.5,0.5,adh,dic,md,mrace,drace,hyb1
8,2,10,0.8,0.2,acc,mik,md,mrace,drace,md6.1
5,5,10,0.5,0.5,sec,mik,md,mrace,drace,md6.1
5,5,10,0.5,0.5,adh,mik,md,mrace,drace,md6.1
10,0,10,1,0,acc,dic,md,mrace,drace,md6.1
3,7,10,0.3,0.7,sec,dic,md,mrace,drace,md6.1
3,7,10,0.3,0.7,adh,dic,md,mrace,drace,md6.1
10,0,10,1,0,acc,mik,md,mrace,drace,md5.1
4,6,10,0.4,0.6,sec,mik,md,mrace,drace,md5.1
3,7,10,0.3,0.7,adh,mik,md,mrace,drace,md5.1
10,0,10,1,0,acc,dic,md,mrace,drace,md5.1
8,2,10,0.8,0.2,sec,dic,md,mrace,drace,md5.1
8,2,10,0.8,0.2,adh,dic,md,mrace,drace,md5.1
8,2,10,0.8,0.2,acc,mik,md,mrace,drace,owd2.2
5,5,10,0.5,0.5,sec,mik,md,mrace,drace,owd2.2
5,5,10,0.5,0.5,adh,mik,md,mrace,drace,owd2.2
9,1,10,0.9,0.1,acc,dic,md,mrace,drace,owd2.2
6,4,10,0.6,0.4,sec,dic,md,mrace,drace,owd2.2
6,4,10,0.6,0.4,adh,dic,md,mrace,drace,owd2.2
10,0,10,1,0,acc,mik,md,mrace,drace,md3.1
7,3,10,0.7,0.3,sec,mik,md,mrace,drace,md3.1
7,3,10,0.7,0.3,adh,mik,md,mrace,drace,md3.1
10,0,10,1,0,acc,dic,md,mrace,drace,md3.1
6,4,10,0.6,0.4,sec,dic,md,mrace,drace,md3.1
5,5,10,0.5,0.5,adh,dic,md,mrace,drace,md3.1
10,0,10,1,0,acc,mik,md,mrace,drace,hyb2
2,8,10,0.2,0.8,sec,mik,md,mrace,drace,hyb2
2,8,10,0.2,0.8,adh,mik,md,mrace,drace,hyb2
10,0,10,1,0,acc,dic,md,mrace,drace,hyb2
5,5,10,0.5,0.5,sec,dic,md,mrace,drace,hyb2
3,7,10,0.3,0.7,adh,dic,md,mrace,drace,hyb2
9,1,10,0.9,0.1,acc,mik,md,mrace,drace,owd2.3
8,2,10,0.8,0.2,sec,mik,md,mrace,drace,owd2.3
7,3,10,0.7,0.3,adh,mik,md,mrace,drace,owd2.3
10,0,10,1,0,acc,dic,md,mrace,drace,owd2.3
10,0,10,1,0,sec,dic,md,mrace,drace,owd2.3
5,5,10,0.5,0.5,adh,dic,md,mrace,drace,owd2.3
3,0,3,1,0,acc,mik,md,mrace,drace,mdn1
3,0,3,1,0,sec,mik,md,mrace,drace,mdn1
3,0,3,1,0,adh,mik,md,mrace,drace,mdn1
4,0,4,1,0,acc,dic,md,mrace,drace,mdn1
3,1,4,0.75,0.25,sec,dic,md,mrace,drace,mdn1
2,2,4,0.5,0.5,adh,dic,md,mrace,drace,mdn1
7,0,7,1,0,acc,mik,md,mrace,drace,mdn2
5,2,7,0.714285714,0.285714286,sec,mik,md,mrace,drace,mdn2
3,4,7,0.428571429,0.571428571,adh,mik,md,mrace,drace,mdn2
6,0,6,1,0,acc,dic,md,mrace,drace,mdn2
0,6,6,0,1,sec,dic,md,mrace,drace,mdn2
0,6,6,0,1,adh,dic,md,mrace,drace,mdn2
10,0,10,1,0,acc,mik,md,mrace,drace,mdn3
10,0,10,1,0,sec,mik,md,mrace,drace,mdn3
9,1,10,0.9,0.1,adh,mik,md,mrace,drace,mdn3
10,0,10,1,0,acc,dic,md,mrace,drace,mdn3
8,2,10,0.8,0.2,sec,dic,md,mrace,drace,mdn3
4,6,10,0.4,0.6,adh,dic,md,mrace,drace,mdn3
10,0,10,1,0,acc,mik,md,mrace,drace,mdn6
9,1,10,0.9,0.1,sec,mik,md,mrace,drace,mdn6
9,1,10,0.9,0.1,adh,mik,md,mrace,drace,mdn6
10,0,10,1,0,acc,dic,md,mrace,drace,mdn6
3,7,10,0.3,0.7,sec,dic,md,mrace,drace,mdn6
2,8,10,0.2,0.8,adh,dic,md,mrace,drace,mdn6
2,0,2,1,0,acc,mik,dm,drace,mrace,dm7.1
0,2,2,0,1,sec,mik,dm,drace,mrace,dm7.1
0,2,2,0,1,adh,mik,dm,drace,mrace,dm7.1
3,0,3,1,0,acc,dic,dm,drace,mrace,dm7.1
2,1,3,0.666666667,0.333333333,sec,dic,dm,drace,mrace,dm7.1
1,2,3,0.333333333,0.666666667,adh,dic,dm,drace,mrace,dm7.1
5,0,5,1,0,acc,mik,dm,drace,mrace,dmn8
2,3,5,0.4,0.6,sec,mik,dm,drace,mrace,dmn8
1,4,5,0.2,0.8,adh,mik,dm,drace,mrace,dmn8
5,0,5,1,0,acc,dic,dm,drace,mrace,dmn8
1,4,5,0.2,0.8,sec,dic,dm,drace,mrace,dmn8
1,4,5,0.2,0.8,adh,dic,dm,drace,mrace,dmn8
3,0,3,1,0,acc,mik,dm,drace,mrace,dmn9
0,3,3,0,1,sec,mik,dm,drace,mrace,dmn9
0,3,3,0,1,adh,mik,dm,drace,mrace,dmn9
2,0,2,1,0,acc,dic,dm,drace,mrace,dmn9
0,2,2,0,1,sec,dic,dm,drace,mrace,dmn9
0,2,2,0,1,adh,dic,dm,drace,mrace,dmn9
