prod,htc,nhtc,rat,dur,fem,mle,pair,fam
17,5,12,0.294117647,10,mrace,mrace,mm,mm92
25,11,14,0.44,8,mrace,mrace,mm,mm92
14,5,9,0.357142857,9,mrace,mrace,mm,mm92
21,7,14,0.333333333,9,mrace,mrace,mm,mm92
19,8,11,0.421052632,9,mrace,mrace,mm,mm92
30,15,15,0.5,9,mrace,mrace,mm,mm92
24,11,13,0.458333333,na,mrace,mrace,mm,mm92
23,2,21,0.086956522,14,mrace,mrace,mm,mm92
20,9,11,0.45,12,mrace,mrace,mm,mm92
20,4,16,0.2,17,mrace,mrace,mm,mm92
25,1,24,0.04,15,mrace,mrace,mm,mm92
20,6,14,0.3,12,mrace,mrace,mm,mm92
20,na,na,na,na,mrace,mrace,mm,mm92
22,na,na,na,na,mrace,mrace,mm,mm92
9,0,9,0,na,mrace,mrace,mm,mm91
17,na,na,na,na,mrace,mrace,mm,mm91
20,5,15,0.25,na,mrace,mrace,mm,mm91
19,18,1,0.947368421,na,mrace,mrace,mm,mm91
31,0,31,0,na,mrace,mrace,mm,mm91
6,1,5,0.166666667,14,mrace,mrace,mm,mm91
15,15,0,1,16,mrace,mrace,mm,mm91
14,10,4,0.714285714,15,mrace,mrace,mm,mm91
21,na,na,na,na,mrace,mrace,mm,mm91
22,na,na,na,na,mrace,mrace,mm,mm91
18,na,na,na,na,mrace,mrace,mm,mm91
11,na,na,na,na,mrace,mrace,mm,mm91
12,0,12,0,na,drace,drace,dd,dd21
21,13,8,0.619047619,9,drace,drace,dd,dd91
16,10,6,0.625,10,drace,drace,dd,dd91
10,4,6,0.4,12,drace,drace,dd,dd91
10,3,7,0.3,10,drace,drace,dd,dd91
12,na,na,na,na,drace,drace,dd,dd91
7,5,2,0.714285714,10,drace,drace,dd,owd12
15,8,7,0.533333333,9,drace,drace,dd,owd12
14,0,14,0,na,drace,drace,dd,owd12
5,2,3,0.4,9,drace,drace,dd,owd12
16,10,6,0.625,11,drace,drace,dd,owd12
13,2,11,0.153846154,na,drace,drace,dd,owd12
10,2,8,0.2,29,drace,drace,dd,owd11
13,1,12,0.076923077,9,drace,drace,dd,owd11
15,0,15,0,na,drace,drace,dd,owd11
11,6,5,0.545454545,na,drace,drace,dd,owd11
8,4,4,0.5,5,drace,drace,dd,owd11
9,3,6,0.333333333,na,drace,drace,dd,owd11
15,0,15,0,na,drace,drace,dd,owd11
5,5,0,1,15,drace,drace,dd,owd11
18,0,18,0,na,drace,drace,dd,dd12
20,10,10,0.5,10,drace,drace,dd,dd12
5,2,3,0.4,12,drace,drace,dd,dd12
8,6,2,0.75,18,drace,drace,dd,dd12
10,na,na,na,na,drace,drace,dd,dd12
20,na,na,na,na,drace,drace,dd,dd12
8,0,8,0,na,drace,drace,dd,dd62
8,1,7,0.125,5,drace,drace,dd,dd62
7,0,7,0,na,drace,drace,dd,dd62
3,0,3,0,na,drace,drace,dd,dd62
14,11,3,0.785714286,10,drace,drace,dd,dd22
15,8,7,0.533333333,9,drace,drace,dd,dd22
9,0,9,0,na,drace,drace,dd,dd22
13,na,na,na,na,drace,drace,dd,dd22
11,0,11,0,na,drace,drace,dd,owd13
10,0,10,0,na,drace,drace,dd,owd13
7,0,7,0,na,drace,drace,dd,owd13
8,5,3,0.625,na,drace,drace,dd,owd13
10,9,1,0.9,16,drace,drace,dd,owd13
6,na,na,na,na,drace,drace,dd,owd13
10,8,2,0.8,8,drace,drace,dd,dd42
3,1,2,0.333333333,11,drace,drace,dd,dd42
15,14,1,0.933333333,9,drace,drace,dd,dd42
10,7,3,0.7,na,drace,drace,dd,dd42
11,na,na,na,na,drace,drace,dd,dd42
16,0,16,0,na,drace,drace,dd,dd72
