dis,race,sex,arr,id,group
0,mrace,fem,sep,smf1,ms
0,mrace,fem,sep,smf1,ms
0,mrace,fem,sep,smf1,ms
0.75,mrace,fem,sep,smf1,ms
0,mrace,fem,sep,smf2,ms
0,mrace,fem,sep,smf2,ms
0,mrace,fem,sep,smf2,ms
0,mrace,fem,sep,smf2,ms
0,mrace,fem,sep,smf2,ms
0.75,mrace,fem,sep,smf2,ms
0,mrace,fem,sep,smf3,ms
0,mrace,fem,sep,smf3,ms
1.25,mrace,fem,sep,smf3,ms
0,mrace,fem,sep,smf3,ms
1.5,mrace,fem,sep,smf3,ms
0.75,mrace,fem,sep,smf4,ms
1.5,mrace,fem,sep,smf4,ms
1.5,mrace,fem,sep,smf4,ms
0,mrace,fem,sep,smf5,ms
0,mrace,fem,sep,smf5,ms
0,mrace,fem,sep,smf5,ms
0,mrace,fem,sep,smf5,ms
0,mrace,fem,sep,smf5,ms
0.75,mrace,fem,sep,smf6,ms
0,mrace,fem,sep,smf6,ms
0,mrace,fem,sep,smf6,ms
0,mrace,fem,sep,smf6,ms
0,mrace,fem,sep,smf6,ms
0.75,mrace,fem,sep,smf7,ms
0,mrace,fem,sep,smf7,ms
1.5,mrace,fem,sep,smf7,ms
1.75,mrace,fem,sep,smf7,ms
0,mrace,fem,sep,smf7,ms
0,mrace,fem,sep,smf8,ms
1.75,mrace,fem,sep,smf8,ms
0,mrace,fem,sep,smf8,ms
1.5,mrace,fem,sep,smf10,ms
0,mrace,fem,sep,smf11,ms
0,mrace,fem,sep,smf11,ms
0,mrace,fem,sep,smf11,ms
1.25,mrace,fem,sep,smf11,ms
0.75,mrace,fem,sep,smf12,ms
0.75,mrace,fem,sep,smf12,ms
0,mrace,fem,sep,smf12,ms
1.25,mrace,fem,sep,smf12,ms
0,mrace,fem,sep,smf13,ms
0,mrace,fem,sep,smf13,ms
0,mrace,fem,sep,smf13,ms
0,mrace,fem,sep,smf13,ms
1.5,mrace,fem,sep,smf13,ms
0,mrace,fem,sep,smf14,ms
0.75,mrace,fem,sep,smf14,ms
0,mrace,fem,sep,smf14,ms
0,mrace,fem,sep,smf14,ms
0,mrace,fem,sep,smf14,ms
0.75,mrace,fem,sep,smf14,ms
0,mrace,fem,sep,smf15,ms
1,mrace,fem,sep,smf15,ms
1.25,mrace,fem,sep,smf15,ms
1.25,mrace,fem,sep,smf15,ms
0,mrace,fem,check,cmf1,mc
1.25,mrace,fem,check,cmf1,mc
5.554,mrace,fem,check,cmf1,mc
2,mrace,fem,check,cmf1,mc
2.5,mrace,fem,check,cmf1,mc
0,mrace,fem,check,cmf2,mc
2,mrace,fem,check,cmf2,mc
5,mrace,fem,check,cmf2,mc
2,mrace,fem,check,cmf2,mc
2,mrace,fem,check,cmf2,mc
1.5,mrace,fem,check,cmf3,mc
4.01,mrace,fem,check,cmf3,mc
3.386,mrace,fem,check,cmf3,mc
2.5,mrace,fem,check,cmf4,mc
2.25,mrace,fem,check,cmf4,mc
2,mrace,fem,check,cmf4,mc
0,mrace,fem,check,cmf4,mc
1.25,mrace,fem,check,cmf4,mc
1.75,mrace,fem,check,cmf5,mc
2.5,mrace,fem,check,cmf5,mc
3.092,mrace,fem,check,cmf5,mc
0,mrace,fem,check,cmf5,mc
1.5,mrace,fem,check,cmf5,mc
1.25,mrace,fem,check,cmf6,mc
0,mrace,fem,check,cmf7,mc
1.25,mrace,fem,check,cmf7,mc
0,mrace,fem,check,cmf7,mc
4.962,mrace,fem,check,cmf11,mc
1.5,mrace,fem,check,cmf12,mc
2,mrace,fem,check,cmf12,mc
2,mrace,fem,check,cmf13,mc
0,mrace,fem,check,cmf14,mc
1.75,mrace,fem,check,cmf14,mc
2.136,mrace,fem,check,cmf15,mc
0,mrace,mle,sep,smm1,ms
