dis,race,sex,arr,id
1.5,mrace,fem,sep,smf7
1.75,mrace,fem,sep,smf7
0,mrace,fem,sep,smf7
0,mrace,fem,sep,smf8
1.75,mrace,fem,sep,smf8
0,mrace,fem,sep,smf8
1.5,mrace,fem,sep,smf10
0,mrace,fem,sep,smf11
0,mrace,fem,sep,smf11
0,mrace,fem,sep,smf11
1.25,mrace,fem,sep,smf11
0.75,mrace,fem,sep,smf12
0.75,mrace,fem,sep,smf12
0,mrace,fem,sep,smf12
1.25,mrace,fem,sep,smf12
0,mrace,fem,sep,smf13
0,mrace,fem,sep,smf13
0,mrace,fem,sep,smf13
0,mrace,fem,sep,smf13
1.5,mrace,fem,sep,smf13
0,mrace,fem,sep,smf14
0.75,mrace,fem,sep,smf14
0,mrace,fem,sep,smf14
0,mrace,fem,sep,smf14
0,mrace,fem,sep,smf14
0.75,mrace,fem,sep,smf14
0,mrace,fem,sep,smf15
1,mrace,fem,sep,smf15
1.25,mrace,fem,sep,smf15
1.25,mrace,fem,sep,smf15
0,mrace,fem,check,cmf1
1.25,mrace,fem,check,cmf1
5.554,mrace,fem,check,cmf1
2,mrace,fem,check,cmf1
2.5,mrace,fem,check,cmf1
0,mrace,fem,check,cmf2
2,mrace,fem,check,cmf2
5,mrace,fem,check,cmf2
2,mrace,fem,check,cmf2
2,mrace,fem,check,cmf2
1.5,mrace,fem,check,cmf3
4.01,mrace,fem,check,cmf3
3.386,mrace,fem,check,cmf3
2.5,mrace,fem,check,cmf4
2.25,mrace,fem,check,cmf4
2,mrace,fem,check,cmf4
0,mrace,fem,check,cmf4
1.25,mrace,fem,check,cmf4
1.75,mrace,fem,check,cmf5
2.5,mrace,fem,check,cmf5
3.092,mrace,fem,check,cmf5
0,mrace,fem,check,cmf5
1.5,mrace,fem,check,cmf5
1.25,mrace,fem,check,cmf6
0,mrace,fem,check,cmf7
1.25,mrace,fem,check,cmf7
0,mrace,fem,check,cmf7
4.962,mrace,fem,check,cmf11
1.5,mrace,fem,check,cmf12
2,mrace,fem,check,cmf12
2,mrace,fem,check,cmf13
0,mrace,fem,check,cmf14
1.75,mrace,fem,check,cmf14
2.136,mrace,fem,check,cmf15
0,mrace,mle,sep,smm1
0,mrace,mle,sep,smm1
1.803,mrace,mle,sep,smm1
1.803,mrace,mle,sep,smm1
0,mrace,mle,sep,smm2
0.75,mrace,mle,sep,smm3
0,mrace,mle,sep,smm3
